Name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,Dew,humidity,Precipitation,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
joshimath,21-03-2010,28,13.4,19.4,26.6,13.4,19.2,1.3,32.4,0,0,0,,,,,27,272.1,,27.4,,288.6,24.8,10,,2010-03-21T06:14:50,2010-03-21T18:23:37,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,22-03-2010,28.3,12.8,19.2,26.8,12.8,18.9,-2.2,26.5,0,0,0,,,,,29.5,276.3,,56.5,,291.3,25,10,,2010-03-22T06:13:36,2010-03-22T18:24:15,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,23-03-2010,27.4,11.9,18.8,26.6,11.9,18.6,-3.4,24.3,0,0,0,,,,,20.5,276.6,,18.3,,299.1,25.6,10,,2010-03-23T06:12:22,2010-03-23T18:24:53,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,24-03-2010,27.4,12.4,18.8,26.7,12.4,18.7,-3.3,24.2,0,0,0,,,,,20.9,271.7,,0,,300,25.9,10,,2010-03-24T06:11:08,2010-03-24T18:25:30,0.3,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,25-03-2010,28,11.6,18.9,26.6,11.6,18.7,-2.9,24.9,0,0,0,,,,,21.2,253.2,,36.4,,261.9,22.6,10,,2010-03-25T06:09:54,2010-03-25T18:26:08,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
joshimath,26-03-2010,26.9,12.5,19.1,26.5,12.5,19,-1.6,26.2,0,0,0,,,,,21.2,252.9,,11.5,,283.9,24.6,10,,2010-03-26T06:08:40,2010-03-26T18:26:46,0.37,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,27-03-2010,26.1,10.8,18.1,26.1,10.8,18.1,-1.5,28.4,0,0,0,,,,,22.7,271.2,,6.2,,287.7,24.9,10,,2010-03-27T06:07:26,2010-03-27T18:27:24,0.4,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,28-03-2010,26.6,10.1,17.8,26.6,10.1,17.8,-3.3,26.3,0,0,0,,,,,26.3,275.3,,0.3,,307.3,26.6,10,,2010-03-28T06:06:13,2010-03-28T18:28:01,0.44,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,29-03-2010,26.8,11.9,18.4,26.6,11.9,18.4,-3.7,24.1,0,0,0,,,,,25.9,271.7,,0.1,,309.7,26.7,10,,2010-03-29T06:04:59,2010-03-29T18:28:39,0.47,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,30-03-2010,24.9,12.3,18,24.9,12.3,18,-1.6,28.1,0,0,0,,,,,22.7,264.8,,16,,258.6,22.3,8,,2010-03-30T06:03:45,2010-03-30T18:29:16,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,31-03-2010,25.2,9,17,25.2,7.4,16.9,-4.3,25.2,0,0,0,,,,,22.7,258.8,,1.9,,300.4,26,10,,2010-03-31T06:02:32,2010-03-31T18:29:54,0.54,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,01-04-2010,24.8,9.3,16.6,24.8,8.6,16.6,-8.7,19.2,0,0,0,,,,,23,273.9,,0,,317.3,27.4,10,,2010-04-01T06:01:19,2010-04-01T18:30:31,0.57,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,02-04-2010,25.3,9.1,17.2,25.3,8.1,17.1,-8,18.8,0,0,0,,,,,23.8,273.5,,0,,321.5,27.8,10,,2010-04-02T06:00:06,2010-04-02T18:31:08,0.6,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,03-04-2010,25.5,10.4,17.5,25.5,10.4,17.5,-3.6,24.7,0,0,0,,,,,21.2,288.3,,14.7,,298.1,25.7,10,,2010-04-03T05:58:53,2010-04-03T18:31:46,0.64,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,04-04-2010,26.3,10.8,17.9,26.3,10.8,17.9,-4.5,23.4,0,0,0,,,,,22.7,276.2,,0,,319.4,27.6,10,,2010-04-04T05:57:41,2010-04-04T18:32:23,0.67,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,05-04-2010,26.9,10.6,18.1,26.7,10.6,18,-5.4,22.5,0,0,0,,,,,28.4,277.8,,0,,320.7,27.7,10,,2010-04-05T05:56:29,2010-04-05T18:33:01,0.7,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,06-04-2010,26.2,10.7,17.9,26.2,10.7,17.9,-7.3,19.4,0,0,0,,,,,25.2,264.4,,0,,326.8,28.4,10,,2010-04-06T05:55:17,2010-04-06T18:33:38,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,07-04-2010,29.4,12.4,20.2,27.7,12.4,19.8,-8.5,15.1,0,0,0,,,,,23,251.4,,25.4,,327.1,28.3,10,,2010-04-07T05:54:05,2010-04-07T18:34:16,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,08-04-2010,29.7,13.1,21,27.9,13.1,20.6,-8.5,14.3,0,0,0,,,,,23,262.8,,85.5,,285.9,24.7,9,,2010-04-08T05:52:54,2010-04-08T18:34:54,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,09-04-2010,30.7,13.8,21.5,28.7,13.8,21,-7.2,15.2,0,0,0,,,,,27.4,272.5,,77,,305.9,26.5,10,,2010-04-09T05:51:44,2010-04-09T18:35:31,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,10-04-2010,29.8,13.1,21.2,27.9,13.1,20.7,-3.4,20.4,0,0,0,,,,,26.6,267.8,,4.5,,318.1,27.5,10,,2010-04-10T05:50:34,2010-04-10T18:36:09,0.86,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,11-04-2010,28.8,14.4,21.3,27.2,14.4,20.9,-2,22.3,0,0,0,,,,,21.6,266.3,,58.7,,289.2,25,9,,2010-04-11T05:49:24,2010-04-11T18:36:47,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,12-04-2010,29.2,14.1,21.4,27.5,14.1,21,-1.3,23.1,0,0,0,,,,,19.1,257.3,,39.2,,275,23.8,8,,2010-04-12T05:48:15,2010-04-12T18:37:25,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
joshimath,13-04-2010,29.3,14.3,21.4,27.6,14.3,21,-2.1,22.5,0,0,0,,,,,20.2,221,,3.9,,323.2,27.9,10,,2010-04-13T05:47:06,2010-04-13T18:38:03,0.96,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,14-04-2010,29.8,13.8,21.7,28,13.8,21.1,-5.3,17.7,0,0,0,,,,,20.2,240,,7,,328,28.4,10,,2010-04-14T05:45:58,2010-04-14T18:38:41,0,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,15-04-2010,30.8,12.7,21.8,28.8,12.7,21.3,-8.7,13.8,0,0,0,,,,,21.2,202.7,,14.7,,313.7,27.2,10,,2010-04-15T05:44:50,2010-04-15T18:39:19,0.03,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,16-04-2010,31.5,14.7,22.8,29.3,14.7,22.1,-6.5,14.3,0,0,0,,,,,25.2,260.9,,3.7,,320,27.6,10,,2010-04-16T05:43:43,2010-04-16T18:39:57,0.06,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,17-04-2010,31.8,14.5,23.3,29.6,14.5,22.6,-2.4,19.5,0,0,0,,,,,26.3,268.7,,44.4,,289.3,25,10,,2010-04-17T05:42:37,2010-04-17T18:40:36,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,18-04-2010,29.9,17.5,22.7,28.1,17.5,22.4,1.6,25.3,0.1,100,4.17,rain,,,,22.7,275.1,,61.8,,205,17.6,9,,2010-04-18T05:41:31,2010-04-18T18:41:14,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
joshimath,19-04-2010,28.4,17.1,21.9,27,17.1,21.7,3.4,30.4,1.4,100,25,rain,,,,15.8,245.5,,37.2,,226.6,19.6,8,,2010-04-19T05:40:26,2010-04-19T18:41:53,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
joshimath,20-04-2010,30.5,15.1,22.2,28.5,15.1,21.7,3,30.9,0,0,0,,,,,24.1,264.4,,2.8,,318.8,27.5,10,,2010-04-20T05:39:21,2010-04-20T18:42:31,0.21,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,21-04-2010,29.7,14.4,22,27.9,14.4,21.5,1.7,27.7,0,0,0,,,,,24.8,228.8,,4,,300.4,26,9,,2010-04-21T05:38:18,2010-04-21T18:43:10,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,22-04-2010,28.3,14.1,21.1,26.8,14.1,20.9,0.8,27.9,0,0,0,,,,,20.5,231.2,,1.6,,317.3,27.4,10,,2010-04-22T05:37:15,2010-04-22T18:43:49,0.28,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,23-04-2010,28,14.5,20.6,26.7,14.5,20.4,-0.3,25.8,0,0,0,,,,,22,246.6,,15.2,,311.8,26.9,10,,2010-04-23T05:36:13,2010-04-23T18:44:28,0.31,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,24-04-2010,27.7,12.6,19.8,26.4,12.6,19.6,-2.7,24.2,0,0,0,,,,,23,251.9,,1.1,,324.2,28.1,10,,2010-04-24T05:35:11,2010-04-24T18:45:07,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,25-04-2010,28.1,11.5,19.8,26.7,11.5,19.6,-5.7,20.7,0,0,0,,,,,22.3,250.6,,1.4,,350.3,30.3,10,,2010-04-25T05:34:11,2010-04-25T18:45:46,0.38,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,26-04-2010,29.3,12.5,20.9,27.6,12.5,20.5,-7.6,15.3,0,0,0,,,,,22,260.6,,7.2,,347.5,29.9,10,,2010-04-26T05:33:11,2010-04-26T18:46:26,0.42,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,27-04-2010,30.9,15.2,22.9,28.8,15.2,22.3,-3.1,18.5,0,0,0,,,,,22,248.3,,89.9,,323.1,27.7,10,,2010-04-27T05:32:13,2010-04-27T18:47:05,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,28-04-2010,29.4,18.3,22.8,27.7,18.3,22.4,2.9,28.2,1.2,100,20.83,rain,,,,27,259.9,,42,,278.3,24.1,9,,2010-04-28T05:31:15,2010-04-28T18:47:44,0.5,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,remote
joshimath,29-04-2010,30,13.5,22,28.1,13.5,21.5,3,32.1,0.6,100,12.5,rain,,,,25.9,245.4,,16.9,,334.3,28.8,10,,2010-04-29T05:30:18,2010-04-29T18:48:24,0.52,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
joshimath,30-04-2010,27.4,14.4,21.6,26.5,14.4,21.4,2.5,29.8,0,0,0,,,,,20.2,275.6,,82.9,,262.4,22.7,8,,2010-04-30T05:29:22,2010-04-30T18:49:03,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,01-05-2010,26.5,16.6,20.9,26.5,16.6,20.9,5.1,36.7,0,0,0,,,,,13.7,232.3,,90.1,,186.7,16.1,6,,2010-05-01T05:28:27,2010-05-01T18:49:43,0.59,Overcast,Cloudy skies throughout the day.,cloudy,remote
joshimath,02-05-2010,27.4,13.4,20.3,26.6,13.4,20.2,6,42.3,0,0,0,,,,,18,219.2,,83.2,,252.6,21.8,9,,2010-05-02T05:27:33,2010-05-02T18:50:23,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,03-05-2010,25.3,14.1,19.1,25.3,14.1,19.1,8.4,52.7,0,0,0,,,,,21.2,213.2,,80.9,,195.8,16.9,7,,2010-05-03T05:26:40,2010-05-03T18:51:03,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,04-05-2010,29.9,15.5,22.3,28.1,15.5,21.8,5.7,36.8,0,0,0,,,,,23.8,239.6,,12.8,,316,27.3,10,,2010-05-04T05:25:48,2010-05-04T18:51:42,0.69,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,05-05-2010,29.7,16.6,22.9,28,16.6,22.4,4.6,31.9,0,0,0,,,,,23.8,240.6,,52.1,,274.7,23.9,9,,2010-05-05T05:24:58,2010-05-05T18:52:22,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
joshimath,06-05-2010,26.7,17.9,21.9,26.7,17.9,21.9,5.8,35.6,0.3,100,12.5,rain,,,,18.7,235.9,,57.8,,226.6,19.5,8,,2010-05-06T05:24:08,2010-05-06T18:53:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
joshimath,07-05-2010,27,14.7,20.6,26.7,14.7,20.6,7.9,46.8,8.1,100,41.67,rain,,,,20.5,241.9,,30.9,,243.4,21,8,,2010-05-07T05:23:19,2010-05-07T18:53:42,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
joshimath,08-05-2010,27,13.8,19.9,26.6,13.8,19.8,7.9,50.2,0,0,0,,,,,22.3,267.1,,6.5,,340.6,29.3,10,,2010-05-08T05:22:32,2010-05-08T18:54:22,0.81,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,09-05-2010,28.9,14.3,21,27.3,14.3,20.6,4.2,37.7,0,0,0,,,,,23.4,266.2,,5.4,,358.9,31.2,10,,2010-05-09T05:21:46,2010-05-09T18:55:01,0.85,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,10-05-2010,29.7,14.4,21.6,27.9,14.4,21.1,2.5,31.4,0,0,0,,,,,24.1,266,,0.2,,360.2,31.2,10,,2010-05-10T05:21:00,2010-05-10T18:55:41,0.88,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,11-05-2010,29.6,14.6,21.8,27.8,14.6,21.3,1.7,29.3,0,0,0,,,,,27.7,271.4,,0.9,,355.2,30.7,10,,2010-05-11T05:20:17,2010-05-11T18:56:21,0.91,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,12-05-2010,30.1,15.3,22.3,28.2,15.3,21.7,0.5,26,0,0,0,,,,,21.6,256.3,,0.4,,359.7,31.2,10,,2010-05-12T05:19:34,2010-05-12T18:57:00,0.94,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,13-05-2010,30.5,13.7,22.4,28.5,13.7,21.8,-1.5,22.6,0,0,0,,,,,23.8,265.4,,0.8,,354.4,30.6,10,,2010-05-13T05:18:52,2010-05-13T18:57:40,0.98,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,14-05-2010,30.2,15.3,22.7,28.3,15.3,22.2,-2,20.8,0,0,0,,,,,27.7,246.9,,13,,315.5,27.4,10,,2010-05-14T05:18:12,2010-05-14T18:58:19,0,Clear,Clear conditions throughout the day.,clear-day,remote
